date,code,open,high,low,close,preclose,volume,amount,pctChg,emotion
2020/1/2,sh.000001,-0.981499783,-0.945602694,-0.906804352,-0.927037135,-1.053383261,-0.272172364,-0.639018124,0.994532122,0.61164929
2020/1/3,sh.000001,-0.897274283,-0.961523781,-0.876290363,-0.932297432,-0.922696161,-0.609883966,-0.940284455,-0.079373476,-0.183782964
2020/1/6,sh.000001,-0.964522518,-0.911748533,-0.91063445,-0.933701916,-0.927957479,-0.052956037,-0.606741613,-0.049246942,-0.182830286
2020/1/7,sh.000001,-0.91039426,-0.91826796,-0.839697445,-0.854003949,-0.929362236,-0.445393015,-0.955127116,0.584894963,0.334567988
2020/1/8,sh.000001,-0.87790988,-0.959965516,-0.933670983,-0.995230997,-0.849648806,-0.213269359,-0.806473781,-1.134918613,0.354093744
2020/1/9,sh.000001,-0.920971174,-0.948470052,-0.855353485,-0.890960142,-0.990903254,-0.806807407,-1.088273797,0.781422503,-0.191945308
2020/1/10,sh.000001,-0.848005687,-0.919108457,-0.850635788,-0.900612712,-0.886612169,-1.166539666,-1.332493459,-0.113460956,-0.512875247
2020/1/13,sh.000001,-0.888100694,-0.880635284,-0.873060698,-0.813888598,-0.896266612,-1.164592981,-1.195095607,0.637885401,-0.239194971
2020/1/14,sh.000001,-0.779795914,-0.837494752,-0.760354361,-0.846482321,-0.809525672,-0.953585345,-1.089682756,-0.290487354,-0.655449201
2020/1/15,sh.000001,-0.844734974,-0.909000184,-0.848226593,-0.90900609,-0.842125718,-1.255176799,-1.402479883,-0.523459181,0.42266006
2020/1/16,sh.000001,-0.872355979,-0.952032864,-0.88983929,-0.968448934,-0.904661617,-1.24359265,-1.37065683,-0.502055707,0.846702881
2020/1/17,sh.000001,-0.925333362,-0.968470895,-0.903384488,-0.963181186,-0.964115994,-1.386110674,-1.326687574,0.003046514,-0.671496629
2020/1/20,sh.000001,-0.922923949,-0.952259724,-0.891345969,-0.887584909,-0.958847225,-1.165984938,-1.093083693,0.554344491,0.037242731
2020/1/21,sh.000001,-0.909276797,-0.991387443,-0.963137009,-1.050184707,-0.883236281,-0.900628713,-0.970439429,-1.304558432,-0.685932702
2020/1/22,sh.000001,-1.084889212,-1.052888734,-1.130822229,-1.018097641,-1.045867625,-1.020322988,-1.033688759,0.215193291,-0.165861244
2020/1/23,sh.000001,-1.086871688,-1.142933438,-1.320727243,-1.33187509,-1.013774335,-0.487042025,-0.636645566,-2.509865911,0.49319204
2020/2/3,sh.000001,-2.279531063,-2.178540506,-2.21074593,-2.188435444,-1.327612662,-1.106902931,-1.2072742,-6.976240963,-0.656448523
2020/2/4,sh.000001,-2.396207532,-2.10569623,-2.327953659,-2.05177949,-2.184339203,0.508237081,-0.259481659,1.161279823,0.326488097
2020/2/5,sh.000001,-1.998591294,-1.895282004,-1.978900032,-1.922134781,-2.047656735,-0.083637927,-0.460979075,1.08473748,0.924725713
2020/2/6,sh.000001,-1.870458049,-1.769412064,-1.871698296,-1.741742365,-1.917986873,-0.011346021,-0.384870965,1.505026977,-0.397283507
2020/2/7,sh.000001,-1.751483542,-1.771732727,-1.755486318,-1.70652222,-1.737559458,-0.086714612,-0.354092485,0.257958922,0.835199441
2020/2/10,sh.000001,-1.745666054,-1.71265995,-1.709689229,-1.652414181,-1.702332479,-0.24535504,-0.523038077,0.415322507,0.94524187
2020/2/11,sh.000001,-1.619285109,-1.630960708,-1.59336164,-1.610737878,-1.648213942,-0.526238021,-0.835300771,0.30935151,0.29881988
2020/2/12,sh.000001,-1.615516921,-1.582301163,-1.555388842,-1.516764091,-1.606529553,-0.749044479,-0.879213344,0.742538778,1.133582727
2020/2/13,sh.000001,-1.498246452,-1.550663533,-1.522502951,-1.594349743,-1.512537534,-0.464781881,-0.579671774,-0.677351325,-0.39557946
2020/2/14,sh.000001,-1.599519756,-1.582141245,-1.528727328,-1.553615972,-1.590138239,-0.728140843,-0.793817437,0.299668302,-0.618168672
2020/2/17,sh.000001,-1.506239466,-1.371291894,-1.433933321,-1.305446942,-1.549396565,-0.046172408,-0.316601204,2.012870423,0.328464346
2020/2/18,sh.000001,-1.296787608,-1.345396418,-1.300480305,-1.300421347,-1.301179386,-0.062877201,-0.251942915,0.002343244,-0.029902294
2020/2/19,sh.000001,-1.303793097,-1.316867882,-1.259285302,-1.336073641,-1.296152815,-0.024985881,-0.200669742,-0.326226574,0.989271369
2020/2/20,sh.000001,-1.29503902,-1.193772324,-1.271875772,-1.132095575,-1.331812027,0.308562774,0.061931175,1.614542166,1.361961131
2020/2/21,sh.000001,-1.145183934,-1.091395378,-1.079080469,-1.096648178,-1.127794385,0.513809458,0.31539005,0.24376868,-0.202846013
2020/2/24,sh.000001,-1.124219443,-1.153562373,-1.126764637,-1.128075844,-1.092340112,0.577841593,0.368339399,-0.287536854,0.114139028
2020/2/25,sh.000001,-1.294337358,-1.247419063,-1.364100219,-1.195815204,-1.123773875,1.354072097,0.866560466,-0.577040617,0.006582954
2020/2/26,sh.000001,-1.307887985,-1.203412001,-1.24764583,-1.289405272,-1.191526377,1.653112677,0.722522689,-0.787139559,-0.24307752
2020/2/27,sh.000001,-1.255645677,-1.27526702,-1.227003575,-1.276738835,-1.285134603,0.360797706,-0.082244259,0.063937286,-0.597524454
2020/2/28,sh.000001,-1.507542554,-1.503357708,-1.607152978,-1.690353885,-1.272465709,0.913517888,0.214949045,-3.371893287,-0.375316596
2020/3/2,sh.000001,-1.601580194,-1.375498096,-1.529708161,-1.352726281,-1.686161008,0.544077827,-0.071814719,2.787813594,0.522690542
2020/3/3,sh.000001,-1.202196806,-1.210612007,-1.2413767,-1.270897372,-1.348467898,1.010459953,0.331520208,0.625780718,-0.167301852
2020/3/4,sh.000001,-1.295313745,-1.265798417,-1.249823802,-1.200974914,-1.266623113,0.391486155,-0.131331116,0.524993978,0.17409647
2020/3/5,sh.000001,-1.093546764,-1.034275082,-1.068694078,-0.97740485,-1.196687089,1.395537583,0.620729407,1.751480388,-0.306544008
2020/3/6,sh.000001,-1.079494949,-1.115401597,-1.044314959,-1.115863908,-0.973073648,0.486597789,-0.232589964,-1.125018945,1.703961559
2020/3/9,sh.000001,-1.275360911,-1.350584067,-1.375296637,-1.455698081,-1.111558452,1.059008638,0.25937176,-2.738270526,-0.597432327
2020/3/10,sh.000001,-1.528723484,-1.309335768,-1.509237832,-1.256495633,-1.451459676,0.827161414,0.153076285,1.593454849,-0.215716434
2020/3/11,sh.000001,-1.221228569,-1.273141233,-1.271605763,-1.361717961,-1.25221858,0.382029692,-0.221431652,-0.884792571,-0.447088251
2020/3/12,sh.000001,-1.465308033,-1.516972637,-1.503700039,-1.529480449,-1.357461322,-0.105263017,-0.630823486,-1.400777062,-0.765692751
2020/3/13,sh.000001,-1.954556582,-1.641871543,-1.900134633,-1.663815837,-1.525256359,0.534451013,-0.106018428,-1.146099076,-0.353841886
2020/3/16,sh.000001,-1.609038979,-1.689647079,-1.957278436,-2.02955101,-1.659617811,0.375571655,-0.246857705,-3.092065547,-0.738718579
2020/3/17,sh.000001,-1.984064279,-1.954173293,-2.216249413,-2.065363498,-2.025423943,-0.123021979,-0.672897934,-0.347816868,-0.560919092
2020/3/18,sh.000001,-1.998772835,-1.995205518,-2.165771921,-2.254929395,-2.061243379,-0.286459476,-0.708542992,-1.682473003,-0.780684224
2020/3/19,sh.000001,-2.269472785,-2.289207128,-2.471402225,-2.354125107,-2.250846055,-0.164965938,-0.61212643,-0.914688275,-0.782110979
2020/3/20,sh.000001,-2.241212117,-2.233137825,-2.263717275,-2.192111691,-2.350061012,-0.713215626,-1.008376071,1.407270675,-0.352541809
2020/3/23,sh.000001,-2.424712111,-2.413758679,-2.435241918,-2.510452037,-2.188016163,-0.737194629,-1.114938762,-2.833617029,-0.616167137
2020/3/24,sh.000001,-2.330309532,-2.339091716,-2.395589023,-2.278467361,-2.506418273,-0.658673061,-1.029299931,2.064227982,-0.565374535
2020/3/25,sh.000001,-2.061955511,-2.096505066,-2.057450244,-2.058096689,-2.274388587,-0.482885357,-0.914380652,1.913286338,-0.629173188
2020/3/26,sh.000001,-2.111729378,-2.096994488,-2.073760423,-2.120238229,-2.05397516,-0.908770328,-1.278046078,-0.576875353,-0.749534946
2020/3/27,sh.000001,-1.996314417,-2.033607286,-2.005407522,-2.093070957,-2.116128756,-0.835936278,-1.234716522,0.198624685,-0.704160768
2020/3/30,sh.000001,-2.194061503,-2.206351646,-2.187036986,-2.186167406,-2.088956213,-0.847466028,-1.258555471,-0.847908179,-0.618670579
2020/3/31,sh.000001,-2.091640666,-2.161465409,-2.112221027,-2.174684164,-2.182070725,-1.077610626,-1.47245821,0.06250919,-1.129592369
2020/4/1,sh.000001,-2.179873069,-2.153299204,-2.157108141,-2.233451588,-2.170585254,-1.092278162,-1.461494237,-0.553426739,-0.500573512
2020/4/2,sh.000001,-2.266420739,-2.126247859,-2.198784611,-2.061648507,-2.229364081,-1.085614403,-1.400868487,1.476459671,-0.133394645
2020/4/3,sh.000001,-2.068366257,-2.126437901,-2.07135533,-2.123678657,-2.057527667,-1.271265822,-1.55512527,-0.576093942,-0.796829558
2020/4/7,sh.000001,-1.944401408,-1.967673676,-1.893218452,-1.91216406,-2.119569852,-0.515009323,-0.96752434,1.806701889,-0.115524282
2020/4/8,sh.000001,-1.948303246,-1.96790723,-1.898970313,-1.93226197,-1.908014218,-0.805938889,-1.23853043,-0.210045142,-0.135637098
2020/4/9,sh.000001,-1.874340211,-1.933762615,-1.823873903,-1.893014643,-1.928116027,-0.864058137,-1.285228533,0.297826148,0.392076327
2020/4/10,sh.000001,-1.86933576,-1.931457572,-1.93746038,-2.002066705,-1.888861085,-0.915631229,-1.293463659,-0.96864874,2.76405735
2020/4/13,sh.000001,-2.027448932,-2.080679928,-1.99673852,-2.052671356,-1.997934305,-1.529812459,-1.797579684,-0.474521301,-0.683973383
2020/4/14,sh.000001,-1.989569917,-1.952718044,-1.939502975,-1.887875795,-2.048548774,-1.25099492,-1.477843026,1.389343132,-0.159095219
2020/4/15,sh.000001,-1.871286679,-1.943598284,-1.867614971,-1.947888256,-1.88372124,-1.219107587,-1.412852741,-0.550015476,2.804865332
2020/4/16,sh.000001,-1.976099109,-1.967444957,-1.91186473,-1.9152502,-1.943745344,-1.247645405,-1.487341357,0.241645398,-0.61905655
2020/4/17,sh.000001,-1.83825916,-1.849843495,-1.788112269,-1.846108218,-1.911100956,-0.781717965,-1.020991928,0.552868792,-0.023319863
2020/4/20,sh.000001,-1.820252047,-1.857169575,-1.776029743,-1.793735109,-1.84194556,-1.151224824,-1.395629424,0.406574297,0.167863825
2020/4/21,sh.000001,-1.813462997,-1.897159361,-1.870160289,-1.888880541,-1.789562289,-0.918017924,-1.274734214,-0.842420339,2.774834015
2020/4/22,sh.000001,-1.918048222,-1.89067638,-1.868442899,-1.825670922,-1.884726181,-1.091552301,-1.40341919,0.500797185,-0.356801345
2020/4/23,sh.000001,-1.782748737,-1.85476821,-1.766204254,-1.846089964,-1.821504299,-0.748547213,-1.16158828,-0.211365457,2.582192098
2020/4/24,sh.000001,-1.840558683,-1.924302566,-1.890755926,-1.957741253,-1.841927302,-0.896765284,-1.311715354,-0.986596941,-0.579753975
2020/4/27,sh.000001,-1.924819452,-1.932754019,-1.88904413,-1.931792194,-1.953600254,-1.169935823,-1.464174499,0.184488333,-0.711608745
2020/4/28,sh.000001,-1.896050543,-1.973370086,-2.05579327,-1.952171747,-1.92764616,-0.693009347,-1.097836908,-0.212778283,-0.466172596
2020/4/29,sh.000001,-1.965134239,-1.936108567,-1.897323408,-1.905909075,-1.948029666,-1.257915876,-1.485017384,0.358654946,-0.436313439
2020/4/30,sh.000001,-1.850041894,-1.810310032,-1.779301177,-1.765684912,-1.901758019,-0.817496606,-1.041915787,1.159528385,0.552290877
2020/5/6,sh.000001,-1.852832581,-1.759458501,-1.785755658,-1.698411229,-1.76150665,-0.737125219,-0.827745832,0.528821993,-0.019897603
2020/5/7,sh.000001,-1.686363683,-1.749198493,-1.659225536,-1.723062351,-1.694219915,-0.988877061,-1.113448828,-0.244761343,-0.381658612
2020/5/8,sh.000001,-1.663215871,-1.668218879,-1.604693808,-1.634318313,-1.71887582,-0.987949,-1.049025365,0.706828299,-0.050599439
2020/5/11,sh.000001,-1.593175464,-1.629217235,-1.585385935,-1.636338982,-1.630114564,-1.006502644,-1.086532841,-0.055093153,-0.29180407
2020/5/12,sh.000001,-1.619002588,-1.69014208,-1.634429843,-1.648430214,-1.632135625,-1.312201113,-1.357433664,-0.138968184,-0.563396243
2020/5/13,sh.000001,-1.662297398,-1.681376742,-1.618373265,-1.624240672,-1.644229203,-1.44327619,-1.475729587,0.163421674,0.090036586
2020/5/14,sh.000001,-1.647066865,-1.730471411,-1.642063189,-1.727462075,-1.620034967,-1.304642809,-1.366656681,-0.896980785,-0.14460892
2020/5/15,sh.000001,-1.670644956,-1.741025222,-1.66374371,-1.734478909,-1.723276397,-1.400510651,-1.28939873,-0.097204016,-0.694281499
2020/5/18,sh.000001,-1.701021749,-1.719605204,-1.667841953,-1.708554065,-1.730294592,-0.996662785,-0.947588372,0.17963101,-0.237523403
2020/5/19,sh.000001,-1.607606696,-1.681525502,-1.573466012,-1.622279237,-1.704364719,-1.310680985,-1.213282522,0.685115853,-0.446799338
2020/5/20,sh.000001,-1.612139659,-1.695482952,-1.61598197,-1.677557804,-1.618073152,-1.165694423,-1.10883327,-0.498053446,-0.959314359
2020/5/21,sh.000001,-1.633465748,-1.71388462,-1.660620333,-1.73647201,-1.673362443,-1.24188561,-1.259502875,-0.530815222,-0.801074049
2020/5/22,sh.000001,-1.736209572,-1.819770453,-1.870174088,-1.938234568,-1.73228808,-1.181572501,-1.302743359,-1.734391022,3.585393058
2020/5/25,sh.000001,-1.909973905,-1.974289426,-1.890881234,-1.922571773,-1.934089783,-1.576031215,-1.651865731,0.09593741,0.26186605
2020/5/26,sh.000001,-1.866702112,-1.874473763,-1.803480026,-1.816108135,-1.91842395,-1.557748549,-1.608843878,0.872588907,3.869661976
2020/5/27,sh.000001,-1.794593842,-1.872021447,-1.781002532,-1.852407536,-1.811939656,-1.300574367,-1.442797181,-0.345710651,-0.484562394
2020/5/28,sh.000001,-1.828424375,-1.823943556,-1.824944615,-1.817321132,-1.848246099,-1.198120256,-1.351295782,0.259924126,-0.572288911
2020/5/29,sh.000001,-1.838163006,-1.848297502,-1.789583892,-1.794486154,-1.813152889,-1.206332731,-1.395305526,0.155160274,0.170060262
2020/6/1,sh.000001,-1.703101864,-1.618554829,-1.631692087,-1.559486866,-1.79031348,-0.624064904,-0.799194157,1.948048346,1.005714097
2020/6/2,sh.000001,-1.538442439,-1.584310172,-1.493093985,-1.537257641,-1.555268598,-0.668637315,-0.90456652,0.1455588,0.089295457
2020/6/3,sh.000001,-1.486193448,-1.523315039,-1.442622088,-1.52990701,-1.53303506,-0.673479101,-0.85561732,0.022395865,-0.392193668
2020/6/4,sh.000001,-1.48082146,-1.559731598,-1.487037805,-1.545257614,-1.525683003,-0.9903063,-1.228926832,-0.164864322,-0.789569447
2020/6/5,sh.000001,-1.512929021,-1.567795902,-1.493129788,-1.502233825,-1.541036585,-1.091108834,-1.238684282,0.317055144,-0.96687689
2020/6/8,sh.000001,-1.443161854,-1.496144313,-1.399550821,-1.476260551,-1.498004449,-0.941040201,-1.064823527,0.175394326,-0.159127446
2020/6/9,sh.000001,-1.452244486,-1.469914126,-1.404293877,-1.407934809,-1.472026136,-1.181737434,-1.252660513,0.522459333,-0.296551598
2020/6/10,sh.000001,-1.408647478,-1.491442739,-1.397191972,-1.45397768,-1.403687138,-1.193977574,-1.312962364,-0.413780524,-0.215999787
2020/6/11,sh.000001,-1.451292973,-1.486529181,-1.481661495,-1.539124823,-1.449738942,-0.912707212,-0.948130902,-0.735621227,0.409939404
2020/6/12,sh.000001,-1.685137816,-1.56982016,-1.629259024,-1.543431412,-1.534902604,-0.887785755,-1.067171793,-0.073813783,0.380246408
2020/6/15,sh.000001,-1.568291315,-1.598525722,-1.564314799,-1.654114464,-1.539210029,-0.809321714,-0.912995985,-0.952214861,0.112875419
2020/6/16,sh.000001,-1.551405377,-1.564152015,-1.493070117,-1.498694674,-1.649914555,-1.02620854,-1.094484556,1.258280761,0.328521419
2020/6/17,sh.000001,-1.477728204,-1.546162785,-1.456144536,-1.483332148,-1.494464611,-0.902551464,-1.03733262,0.088067614,0.046604262
2020/6/18,sh.000001,-1.488089422,-1.522799584,-1.4521537,-1.470508871,-1.479099105,-0.640470698,-0.945337276,0.067037781,-0.325595089
2020/6/19,sh.000001,-1.455015497,-1.409674323,-1.393533053,-1.365008627,-1.46627334,-0.579166377,-0.704672402,0.827083846,0.053126605
2020/6/22,sh.000001,-1.350649309,-1.372031234,-1.306969469,-1.373809565,-1.360752627,-0.540243233,-0.486526589,-0.109766768,0.029534488
2020/6/23,sh.000001,-1.372973689,-1.413073128,-1.341235612,-1.353883769,-1.369555273,-1.005501749,-0.815688701,0.123741268,-0.443358986
2020/6/24,sh.000001,-1.328070252,-1.373874748,-1.261513621,-1.320615,-1.349625611,-1.136465624,-0.883464516,0.231739442,2.487503555
2020/6/29,sh.000001,-1.327724989,-1.392582491,-1.334062848,-1.387799645,-1.316350387,-1.05554189,-0.908752911,-0.581897041,-0.167361186
2020/6/30,sh.000001,-1.357314733,-1.344558525,-1.284330491,-1.301527425,-1.383548067,-1.117314298,-0.881010983,0.664063565,0.881848663
2020/7/1,sh.000001,-1.260507939,-1.213050935,-1.210194775,-1.147641763,-1.297259108,-0.481046266,-0.293361469,1.20477567,0.354741396
2020/7/2,sh.000001,-1.13971208,-0.966640397,-1.073364784,-0.907023047,-1.14334359,0.803516104,0.583853534,1.878846774,3.308144119
2020/7/3,sh.000001,-0.841686269,-0.742125911,-0.766354227,-0.675140447,-0.90267819,1.541292426,1.047619871,1.77063214,1.072140923
2020/7/6,sh.000001,-0.530414998,-0.056118186,-0.453665652,-0.004310667,-0.670750601,3.55931719,2.575328844,5.091514473,1.462846857
2020/7/7,sh.000001,0.186521953,0.203501536,0.099786574,0.042093942,0.000209331,3.711539931,3.137973374,0.297413886,6.071275595
2020/7/8,sh.000001,0.025392745,0.257241623,0.067954614,0.25855292,0.046622944,2.940044075,2.353895459,1.521718633,2.737571955
2020/7/9,sh.000001,0.270163107,0.389046733,0.313840602,0.434219265,0.263123919,3.298979883,2.796009164,1.206119337,1.684410392
2020/7/10,sh.000001,0.327526809,0.300297733,0.235033433,0.18360524,0.438824346,2.602461849,2.405638285,-1.789307144,0.662232573
2020/7/13,sh.000001,0.180704836,0.395812731,0.222096874,0.406996856,0.188161697,2.62303476,2.520614246,1.553605587,0.204478579
2020/7/14,sh.000001,0.387257231,0.367663534,0.211076484,0.300197557,0.411596656,2.461717309,2.439072734,-0.78605726,4.571249245
2020/7/15,sh.000001,0.33919557,0.297850996,0.13524277,0.101579629,0.304776636,1.903679684,2.175095248,-1.440631713,-0.524261808
2020/7/16,sh.000001,0.095214486,0.078730935,-0.372036816,-0.461725885,0.106120172,1.88822524,2.213485348,-4.078633655,-0.787335381
2020/7/17,sh.000001,-0.431800217,-0.370351219,-0.478148447,-0.446712059,-0.457294632,0.460330611,0.651224475,0.074493519,-0.372841392
2020/7/20,sh.000001,-0.322250636,-0.142114002,-0.331174475,-0.074094167,-0.442277894,1.10256235,1.116909913,2.756754755,0.283386368
2020/7/21,sh.000001,-0.000613692,-0.058324304,-0.03324017,-0.048963583,-0.069587708,0.455965132,0.670059188,0.144549253,-0.199320821
2020/7/22,sh.000001,-0.057656635,0.110134268,0.008582492,-0.003257118,-0.044452248,0.827583227,1.088819793,0.29355713,-0.144469741
2020/7/23,sh.000001,-0.091190539,-0.059733437,-0.192653572,-0.033259064,0.001263085,0.977035577,1.139914822,-0.255275361,0.231422785
2020/7/24,sh.000001,-0.074499137,-0.123601507,-0.464386944,-0.511386514,-0.028744682,1.195225841,1.442962596,-3.50501517,-0.518675936
2020/7/27,sh.000001,-0.446709248,-0.484874455,-0.502822934,-0.479875399,-0.506964897,-0.197498187,-0.031424544,0.199382743,-0.566126783
2020/7/28,sh.000001,-0.388249986,-0.39817649,-0.376636291,-0.39518313,-0.475447668,-0.305888932,-0.131493065,0.59877803,-0.843403803
2020/7/29,sh.000001,-0.403636816,-0.214995096,-0.371055983,-0.147100902,-0.390738968,0.081679442,0.38042892,1.814633659,1.517665113
2020/7/30,sh.000001,-0.115608027,-0.148429627,-0.101899256,-0.175898792,-0.142608607,0.253733041,0.573796478,-0.249007907,2.529700003
2020/7/31,sh.000001,-0.185313567,-0.069084147,-0.178531808,-0.08952673,-0.171412084,0.39607315,0.726061283,0.595284136,1.492648218
2020/8/3,sh.000001,0.005459587,0.058540795,0.067846834,0.126396159,-0.085023265,0.981597139,1.346756568,1.534464612,0.076608221
2020/8/4,sh.000001,0.169765953,0.143972065,0.160427066,0.140261065,0.130941517,1.361767487,1.61001338,0.060984092,0.068449678
2020/8/5,sh.000001,0.121103238,0.116310802,0.090968024,0.162156491,0.144809113,0.745674812,0.974953185,0.118296541,0.026818994
2020/8/6,sh.000001,0.18581101,0.150035913,0.092672735,0.19530642,0.166708787,1.06709637,1.331023186,0.198359724,-0.300340606
2020/8/7,sh.000001,0.148038915,0.080967177,-0.006609238,0.074498786,0.199865147,0.943095286,1.257724897,-0.898334332,-0.271907702
2020/8/10,sh.000001,0.040152905,0.176915068,0.095315391,0.168443514,0.079034075,0.697227436,0.979560645,0.637022257,-0.209594731
2020/8/11,sh.000001,0.181078685,0.210856997,0.099237979,0.023292107,0.17299703,0.905185554,0.873783408,-1.073850901,-0.707355805
2020/8/12,sh.000001,-0.011950927,-0.061857736,-0.172371578,-0.055032669,0.027817461,0.663965271,0.604218668,-0.60359332,-0.402234481
2020/8/13,sh.000001,-0.009417145,-0.052847316,-8.20E-05,-0.04959169,-0.050522512,0.074780054,-0.153453401,0.00125376,-0.279683258
2020/8/14,sh.000001,-0.055848276,0.035943709,-0.025170485,0.097088259,-0.045080476,-0.124671649,-0.312933051,1.026666075,-0.626654323
2020/8/17,sh.000001,0.160342142,0.36645969,0.223351446,0.390287218,0.101627931,1.277482353,1.063296571,2.065488119,0.416390791
2020/8/18,sh.000001,0.41291061,0.388111402,0.45929596,0.436066702,0.394883775,0.690136467,0.703987583,0.282691027,-0.035312237
2020/8/19,sh.000001,0.422677828,0.37970904,0.360556243,0.276020309,0.440672141,0.962640207,0.746175396,-1.156350828,-0.394525326
2020/8/20,sh.000001,0.205124923,0.156924266,0.161452653,0.111244865,0.280594697,0.198092348,-0.034793091,-1.203898335,-0.647318989
2020/8/21,sh.000001,0.183824079,0.154545958,0.180934317,0.173771241,0.115787283,-0.326490812,-0.363015896,0.409864307,-0.755168469
2020/8/24,sh.000001,0.224239474,0.164396875,0.218322717,0.192233691,0.178325791,-0.558298904,-0.489328314,0.093398274,-0.126422788
2020/8/25,sh.000001,0.230797607,0.21015336,0.20390633,0.147304349,0.196791823,-0.439610931,-0.405802922,-0.358210532,-0.708275628
2020/8/26,sh.000001,0.152570022,0.112467947,0.03972041,-0.016015573,0.151853763,-0.250574942,-0.195827455,-1.205434212,-0.979822633
